商品名称,类别,价格,库存,描述,图片链接
Orbit 商务笔记本 X,电脑办公,1391.84,5,电脑办公演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Pulse 睡眠监测环 Max,智能穿戴,9002.87,20,智能穿戴演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Lumen 数据线 Pro,智能配件,213.3,35,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Nebula 折叠屏 Mini,手机数码,7090.92,2,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Halo 影像手机 Air,手机数码,7075.93,50,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Aurora 降噪耳机 Go,影音娱乐,134.9,5,影音娱乐演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Vertex 游戏本 Pro,电脑办公,9004.05,12,电脑办公演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Lumen 蓝牙耳机 X,智能配件,2092.29,50,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Aurora 电竞手机 Air,手机数码,268.09,35,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Nebula 游戏手柄 Mini,影音娱乐,7077.97,20,影音娱乐演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Aurora 无线键鼠套装 Mini,电脑办公,2009.93,12,电脑办公演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Vertex 数据线 Mini,智能配件,4098.7,50,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Aurora 影像手机 Lite,手机数码,7000.39,120,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Orbit 影像手机 Go,手机数码,466.16,120,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Zephyr 麦克风 X,影音娱乐,1316.33,35,影音娱乐演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Comet 投影仪 Plus,影音娱乐,152.2,20,影音娱乐演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Vertex 电竞手机 Go,手机数码,9084.01,20,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Orbit 健康手环 Neo,智能穿戴,4037.69,12,智能穿戴演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Quartz 快充头 Plus,智能配件,405.2,35,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Halo 蓝牙音箱 Mini,影音娱乐,164.88,5,影音娱乐演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Quartz 快充头 Plus,智能配件,9063.69,88,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Vertex 影像手机 Max,手机数码,289.89,20,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Vertex 移动电源 Go,智能配件,412.15,200,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Quartz 运动手表 Ultra,智能穿戴,118.81,200,智能穿戴演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Zephyr 快充头 Ultra,智能配件,4047.6,20,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Aurora 电竞手机 Go,手机数码,7018.48,120,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Halo 折叠屏 Ultra,手机数码,2084.43,35,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Nebula 便携显示器 Plus,电脑办公,105.65,12,电脑办公演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Lumen 车载支架 Lite,智能配件,9027.84,50,智能配件演示商品，用于课程数据导入测试。,/100191209_p0.jpg
Comet 影像手机 Neo,手机数码,9088.59,20,手机数码演示商品，用于课程数据导入测试。,/100191209_p0.jpg
